,time_iso,time_unix,electric_powerDemand,gnss_altitude,gnss_course,gnss_latitude,gnss_longitude,itcs_busRoute,itcs_numberOfPassengers,itcs_stopName,odometry_articulationAngle,odometry_steeringAngle,odometry_vehicleSpeed,odometry_wheelSpeed_fl,odometry_wheelSpeed_fr,odometry_wheelSpeed_ml,odometry_wheelSpeed_mr,odometry_wheelSpeed_rl,odometry_wheelSpeed_rr,status_doorIsOpen,status_gridIsAvailable,status_haltBrakeIsActive,status_parkBrakeIsActive,temperature_ambient,traction_brakePressure,traction_tractionForce
142,2019-04-30T03:21:18Z,1556594478,16140.75,397.8,1.432915,0.8270037,0.1484894,-,,-,-0.4607851,0.3892448,3.228894,3.065965,3.309021,2.996521,3.218779,2.652735,3.118049,0,1,0,0,292.15,0.0,3437.261
143,2019-04-30T03:21:19Z,1556594479,17476.71,397.8,1.432915,0.8270025,0.1484895,-,,-,-0.3454672,0.2320208,3.236604,3.080199,3.215508,3.055679,3.180786,2.78864,3.146064,0,1,0,0,292.15,0.0,3621.687
144,2019-04-30T03:21:20Z,1556594480,17800.86,397.8,1.432915,0.8270029,0.1484894,-,,-,-0.2268928,0.1471063,3.305451,3.162047,3.231492,3.144686,3.214131,3.008278,3.233972,0,1,0,0,292.15,0.0,3644.703
145,2019-04-30T03:21:21Z,1556594481,4461.355,397.8,1.432915,0.8270031,0.1484886,-,,-,-0.1465537,0.08546715,3.251502,3.115839,3.150561,3.112259,3.1332,3.015251,3.167922,0,1,0,0,292.15,0.0,-2.268991
146,2019-04-30T03:21:22Z,1556594482,28584.73,397.8,1.432915,0.8270022,0.148487,-,,-,-0.08557456,0.03152278,3.293897,3.184125,3.184125,3.17013,3.184125,3.114681,3.236208,0,1,0,0,292.15,0.0,6621.516
147,2019-04-30T03:21:23Z,1556594483,31207.22,397.8,1.432915,0.8270031,0.1484874,-,,-,-0.02617994,-0.0,3.544101,3.417415,3.417415,3.417415,3.417415,3.400054,3.452137,0,1,0,0,292.15,0.0,7047.042
148,2019-04-30T03:21:24Z,1556594484,32607.16,397.8299,1.474908,0.827001,0.1484869,-,,-,-0.0,-0.0,3.793694,3.663105,3.663105,3.663105,3.663105,3.663105,3.663105,0,1,0,0,292.15,0.0,7033.599
149,2019-04-30T03:21:25Z,1556594485,39229.61,400.314,4.932499,0.8270023,0.1484851,-,,-,-0.0,0.03310728,4.045902,3.898375,3.901954,3.898375,3.912157,3.898375,3.901954,0,1,0,0,292.15,0.0,7572.098
150,2019-04-30T03:21:26Z,1556594486,54537.21,401.6892,4.258572,0.827,0.1484845,-,,-,-0.0,0.01565398,4.404461,4.239702,4.239702,4.239702,4.239702,4.239702,4.257063,0,1,0,0,292.15,0.0,10395.16
151,2019-04-30T03:21:27Z,1556594487,52785.54,400.486,4.065155,0.8269981,0.1484842,-,,-,-0.0,0.008726646,4.860109,4.685218,4.712781,4.698999,4.702579,4.712781,4.698999,0,1,0,0,292.15,0.0,9944.972
152,2019-04-30T03:21:28Z,1556594488,105212.2,399.1192,4.262545,0.8269989,0.1484852,-,,-,-0.0,0.001780948,5.394077,5.202532,5.202532,5.209618,5.219893,5.206075,5.233711,0,1,0,0,292.15,0.0,17314.05
